lo_id,hi_id,lo_wins,hi_wins
101723,103084,0,1
101723,103114,1,0
101723,103166,0,1
101723,103184,1,0
101723,103193,1,0
101723,103240,0,1
101723,103252,0,1
101723,103280,0,1
101723,103285,0,1
101723,103325,1,0
101723,103344,1,0
101723,103454,1,0
101723,103498,1,0
101723,103507,1,0
101723,103598,0,1
101723,103602,0,1
101723,103714,0,1
101723,103720,0,1
101723,103789,1,0
101723,103819,1,1
101723,104022,1,0
101723,104098,1,0
101723,104233,1,0
101723,104339,1,1
101727,101733,2,0
101727,101826,1,0
101727,101885,0,1
101727,101945,1,0
101727,101962,0,1
101727,102035,0,2
101727,102205,0,1
101727,102300,1,0
101727,102369,1,0
101727,102401,1,0
101727,102524,1,0
101727,102533,0,1
101727,102562,1,0
101727,102652,1,0
101727,102720,1,0
101727,102776,0,2
101727,102821,1,2
101727,102831,1,0
101727,102834,2,0
101727,102839,1,0
101727,102854,0,1
101727,102860,0,1
101727,102966,1,0
101727,102998,0,1
101727,103017,0,1
101727,103103,2,0
101727,103162,1,0
101727,103163,0,1
101727,103166,1,0
101727,103181,0,1
101727,103184,1,0
101727,103193,0,1
101727,103206,1,0
101727,103248,1,1
101727,103252,1,0
101727,103344,1,0
101727,103387,0,1
101727,103454,2,0
101727,103507,0,1
101727,103602,1,0
101727,103720,0,2
101731,101997,0,1
101731,102247,0,1
101731,102765,0,1
101731,102965,0,1
101731,103165,0,1
